Date,Close/Last,Volume,Open,High,Low
03/08/2021,$115.9325,54311160,$124.5,$124.7125,$115.665
03/05/2021,$124.615,54283880,$125.5,$125.5,$116.7925
03/04/2021,$123.7025,57334520,$128.0075,$129.75,$120.8375
03/03/2021,$128.0475,37759028,$134.2625,$134.515,$127.9875
03/02/2021,$134.0625,26411412,$139,$139.205,$133.96
03/01/2021,$138.4175,35318300,$138.75,$139.25,$135.5325
02/26/2021,$137.145,50093040,$137.525,$138.545,$133.61
02/25/2021,$133.075,82443600,$140.4543,$143.7475,$132.1625
02/24/2021,$144.99,44831920,$141.2275,$145.0675,$137.56
02/23/2021,$141.42,39177932,$140.7525,$142.3875,$133.895
02/22/2021,$143.5575,32588556,$147.7475,$151.3325,$143.25
02/19/2021,$149.265,27172412,$150.245,$151.77,$148.467
02/18/2021,$148.29,23408080,$147.29,$148.7325,$145.75
02/17/2021,$149.06,27569868,$151.71,$152.2352,$147.8
02/16/2021,$153.3025,32195952,$150.6425,$153.725,$149.5
02/12/2021,$149.6125,37475748,$150.5,$152.9114,$147.75
02/11/2021,$152.5075,45082760,$149.8025,$152.7225,$149.25
02/10/2021,$147.6425,48535240,$144.6325,$149.05,$143.4137
02/09/2021,$142.6325,28756012,$143.4063,$145.8325,$142.225
02/08/2021,$144.3875,43462280,$137.2722,$144.7375,$137.2722
02/05/2021,$135.91,16915364,$137.25,$137.3725,$135.4575
02/04/2021,$136.6425,20133848,$135.31,$136.735,$133.3786
02/03/2021,$135.305,24540928,$136.36,$139.3175,$135.165
02/02/2021,$135.5675,22043828,$133.9875,$135.72,$132.855
02/01/2021,$132.37,21720432,$130.5335,$132.7075,$129.0275
01/29/2021,$129.8975,27155204,$130.75,$133.3475,$129.1151
01/28/2021,$130.51,22831596,$129.9625,$133.3975,$129.605
01/27/2021,$129.1775,37127284,$132.3,$132.3275,$127.9375
01/26/2021,$134.3525,16398040,$135.8045,$136.4475,$133.875
01/25/2021,$136.5325,25111116,$137.8175,$138.285,$132.3648
01/22/2021,$137.125,24681856,$137.4009,$138.4173,$136.2725
01/21/2021,$138.675,33833960,$134.186,$139.9936,$132.53
01/20/2021,$133.6575,25857088,$131.1175,$134.305,$130.5675
01/19/2021,$130.2525,22618688,$130.1625,$130.9398,$128.44
01/15/2021,$128.595,27778128,$132.28,$133.2525,$128.485
01/14/2021,$132.0025,28312028,$135.75,$135.9975,$131.805
01/13/2021,$135.3175,21002844,$134.8997,$136.25,$133.85
01/12/2021,$134.8475,29147772,$137.525,$137.545,$133.45
01/11/2021,$136.215,51902880,$134.1875,$139.61,$133.625
01/08/2021,$132.7675,29252860,$133.625,$134.21,$130.42
01/07/2021,$133.44,46148160,$129.675,$133.7775,$128.865
01/06/2021,$126.145,58042320,$132.225,$132.45,$125.86
01/05/2021,$134.0475,32275992,$130.9975,$134.435,$130.87
01/04/2021,$131.135,56064200,$131.0425,$136.525,$129.625
12/31/2020,$130.55,19242440,$131.365,$131.5112,$129.15
12/30/2020,$131.4575,22539716,$129.903,$132.1375,$128.9675
12/29/2020,$129.4325,17037216,$129.25,$130.725,$128.4225
12/28/2020,$129,21256564,$130.625,$130.625,$127.6318
12/24/2020,$129.9375,9788352,$130.3725,$131.325,$129.3875
12/23/2020,$130.0925,17914276,$132.56,$132.75,$130.05
12/22/2020,$132.7825,18631488,$133.1925,$133.3725,$130.5388
12/21/2020,$133.3225,30233216,$130.7475,$133.7,$129.675
12/18/2020,$132.72,34206464,$133.79,$134.05,$130.705
12/17/2020,$133.4125,23138388,$133.6675,$133.795,$131.785
12/16/2020,$132.425,22311468,$134.225,$134.3725,$132.125
12/15/2020,$133.605,19348592,$134.3975,$134.64,$131.8675
12/14/2020,$133.0875,27015788,$130.8788,$133.8875,$130.775
12/11/2020,$130.1325,20926564,$129.6725,$130.2,$128.23
12/10/2020,$129.7225,20776472,$128.69,$130.6875,$128.4938
12/09/2020,$129.3075,40130120,$133.005,$134.14,$128.6824
12/08/2020,$133.5,27192088,$135.85,$135.9875,$132.815
12/07/2020,$136.0675,22324324,$136.0125,$137.3125,$135
12/04/2020,$135.5825,20224340,$134.485,$135.6,$133.8869
12/03/2020,$133.96,19952064,$135.875,$136.6,$133.29
12/02/2020,$135.445,28336120,$133.505,$136.7344,$132.3425
